Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,802,92,698,12
Grefrath,815,108,696,11
Kempen,2149,223,1889,37
Nettetal,2873,278,2536,59
Niederkrüchten,645,53,576,16
Schwalmtal,784,81,689,14
Tönisvorst,1559,161,1377,21
Viersen,4567,328,4120,119
Willich,2591,222,2334,35
o. Angabe,0,0,0,0
Gesamt,16785,1546,14915,324
