Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,962,60,890,12
Grefrath,983,66,903,14
Kempen,2728,233,2454,41
Nettetal,3500,223,3215,62
Niederkrüchten,768,26,726,16
Schwalmtal,994,77,902,15
Tönisvorst,2062,247,1792,23
Viersen,5747,482,5136,129
Willich,3249,314,2897,38
o. Angabe,0,0,0,0
Gesamt,20993,1728,18915,350
