Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,584,15,557,12
Grefrath,607,7,592,8
Kempen,1702,4,1664,34
Nettetal,2248,24,2167,57
Niederkrüchten,488,7,465,16
Schwalmtal,634,21,599,14
Tönisvorst,1238,10,1207,21
Viersen,3718,42,3560,116
Willich,1962,16,1911,35
o. Angabe,0,0,0,0
Gesamt,13181,146,12722,313
