Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,908,43,853,12
Grefrath,922,30,878,14
Kempen,2513,134,2338,41
Nettetal,3308,146,3100,62
Niederkrüchten,739,41,682,16
Schwalmtal,930,66,849,15
Tönisvorst,1832,99,1710,23
Viersen,5293,219,4946,128
Willich,2966,150,2778,38
o. Angabe,0,0,0,0
Gesamt,19411,928,18134,349
