Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,489,1,476,12
Grefrath,540,2,530,8
Kempen,1512,12,1467,33
Nettetal,1999,14,1928,57
Niederkrüchten,438,7,415,16
Schwalmtal,524,11,500,13
Tönisvorst,1081,5,1056,20
Viersen,3302,27,3161,114
Willich,1703,21,1648,34
o. Angabe,0,0,0,0
Gesamt,11588,100,11181,307
