,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,437,0
Blieskastel,572,0
Gersheim,98,0
Homburg,1448,0
Kirkel,303,0
Mandelbachtal,293,0
St. Ingbert,1433,0
