,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,431,0
Blieskastel,563,2
Gersheim,95,0
Homburg,1414,5
Kirkel,299,1
Mandelbachtal,289,1
St. Ingbert,1399,0
