,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,467,0
Blieskastel,590,0
Gersheim,111,0
Homburg,1543,0
Kirkel,318,0
Mandelbachtal,309,0
St. Ingbert,1511,1
