,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,421,1
Blieskastel,522,5
Gersheim,94,0
Homburg,1366,9
Kirkel,289,5
Mandelbachtal,283,0
St. Ingbert,1346,3
