,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,670,6
Blieskastel,754,13
Gersheim,138,2
Homburg,2221,20
Kirkel,412,4
Mandelbachtal,370,7
St. Ingbert,1910,18
