,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,455,2
Blieskastel,584,0
Gersheim,108,0
Homburg,1502,3
Kirkel,315,0
Mandelbachtal,300,0
St. Ingbert,1475,4
