,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,625,1
Blieskastel,684,3
Gersheim,125,0
Homburg,2112,6
Kirkel,387,2
Mandelbachtal,347,1
St. Ingbert,1811,3
