,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,616,0
Blieskastel,673,0
Gersheim,123,0
Homburg,2065,3
Kirkel,377,1
Mandelbachtal,339,0
St. Ingbert,1775,1
