,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,435,0
Blieskastel,568,0
Gersheim,97,0
Homburg,1435,0
Kirkel,301,0
Mandelbachtal,292,0
St. Ingbert,1420,0
