,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,473,0
Blieskastel,594,0
Gersheim,112,0
Homburg,1562,0
Kirkel,321,0
Mandelbachtal,326,0
St. Ingbert,1551,0
