,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,637,2,2
Blieskastel,710,12,12
Gersheim,129,2,2
Homburg,2151,18,18
Kirkel,396,1,1
Mandelbachtal,356,7,7
St. Ingbert,1845,22,22
