,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,617,1
Blieskastel,676,3
Gersheim,124,1
Homburg,2065,0
Kirkel,377,1
Mandelbachtal,340,1
St. Ingbert,1780,5
