,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,664,1
Blieskastel,741,1
Gersheim,136,1
Homburg,2201,6
Kirkel,408,0
Mandelbachtal,363,2
St. Ingbert,1892,4
