,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,525,7
Blieskastel,640,3
Gersheim,119,0
Homburg,1776,12
Kirkel,353,4
Mandelbachtal,331,0
St. Ingbert,1658,12
