,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,444,0
Blieskastel,579,0
Gersheim,101,0
Homburg,1490,0
Kirkel,313,0
Mandelbachtal,298,0
St. Ingbert,1467,0
