,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,533,0
Blieskastel,645,3
Gersheim,119,0
Homburg,1797,1
Kirkel,356,0
Mandelbachtal,332,0
St. Ingbert,1662,0
