,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,477,0
Blieskastel,603,0
Gersheim,114,0
Homburg,1590,3
Kirkel,323,0
Mandelbachtal,327,0
St. Ingbert,1578,0
