,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,742,10,10
Blieskastel,823,17,17
Gersheim,148,3,3
Homburg,2375,33,33
Kirkel,452,10,10
Mandelbachtal,402,13,13
St. Ingbert,2037,38,38
