,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,535,2
Blieskastel,646,1
Gersheim,119,0
Homburg,1802,5
Kirkel,357,1
Mandelbachtal,332,0
St. Ingbert,1673,11
