,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,473,1
Blieskastel,593,0
Gersheim,112,1
Homburg,1561,2
Kirkel,320,0
Mandelbachtal,326,0
St. Ingbert,1551,1
