,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,474,1,1
Blieskastel,596,1,1
Gersheim,114,0,0
Homburg,1569,1,1
Kirkel,321,0,0
Mandelbachtal,326,0,0
St. Ingbert,1563,2,2
