,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,614,3
Blieskastel,670,1
Gersheim,123,0
Homburg,2039,2
Kirkel,374,0
Mandelbachtal,337,0
St. Ingbert,1768,2
