,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,465,1
Blieskastel,590,1
Gersheim,111,0
Homburg,1540,0
Kirkel,318,0
Mandelbachtal,305,1
St. Ingbert,1508,1
