,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,579,6,6
Blieskastel,655,2,2
Gersheim,122,0,0
Homburg,1965,6,6
Kirkel,363,1,1
Mandelbachtal,335,0,0
St. Ingbert,1747,1,1
