,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,417,0
Blieskastel,514,0
Gersheim,93,0
Homburg,1348,0
Kirkel,279,0
Mandelbachtal,283,0
St. Ingbert,1333,0
