,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,438,0
Blieskastel,574,0
Gersheim,99,0
Homburg,1463,3
Kirkel,305,1
Mandelbachtal,295,1
St. Ingbert,1449,6
