,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,503,11
Blieskastel,620,2
Gersheim,119,0
Homburg,1698,7
Kirkel,335,1
Mandelbachtal,330,0
St. Ingbert,1620,3
