,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,555,0
Blieskastel,651,0
Gersheim,121,0
Homburg,1908,3
Kirkel,361,0
Mandelbachtal,335,0
St. Ingbert,1713,4
