,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,486,1
Blieskastel,612,0
Gersheim,119,0
Homburg,1664,3
Kirkel,326,0
Mandelbachtal,329,0
St. Ingbert,1609,3
