,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,477,1
Blieskastel,602,3
Gersheim,114,0
Homburg,1581,0
Kirkel,322,0
Mandelbachtal,327,0
St. Ingbert,1575,3
