,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,482,0
Blieskastel,609,2
Gersheim,118,0
Homburg,1639,13
Kirkel,325,0
Mandelbachtal,327,0
St. Ingbert,1595,1
