,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,437,1
Blieskastel,572,2
Gersheim,98,1
Homburg,1448,2
Kirkel,303,1
Mandelbachtal,293,0
St. Ingbert,1433,7
