,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,483,1
Blieskastel,610,1
Gersheim,118,0
Homburg,1648,9
Kirkel,325,0
Mandelbachtal,328,1
St. Ingbert,1602,7
