,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,467,2
Blieskastel,590,0
Gersheim,111,0
Homburg,1541,1
Kirkel,318,0
Mandelbachtal,305,0
St. Ingbert,1509,1
