,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,441,0
Blieskastel,578,3
Gersheim,101,0
Homburg,1480,6
Kirkel,311,4
Mandelbachtal,297,0
St. Ingbert,1464,5
