,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,615,1
Blieskastel,671,1
Gersheim,123,0
Homburg,2050,11
Kirkel,375,1
Mandelbachtal,337,0
St. Ingbert,1770,2
