,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,471,0
Blieskastel,591,0
Gersheim,111,0
Homburg,1547,0
Kirkel,318,0
Mandelbachtal,326,0
St. Ingbert,1548,0
