,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,621,2
Blieskastel,678,1
Gersheim,124,0
Homburg,2073,5
Kirkel,380,1
Mandelbachtal,341,1
St. Ingbert,1787,5
