,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,476,2,2
Blieskastel,599,0,0
Gersheim,114,0,0
Homburg,1581,0,0
Kirkel,322,1,1
Mandelbachtal,327,0,0
St. Ingbert,1572,3,3
