,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,478,1
Blieskastel,603,0
Gersheim,115,0
Homburg,1596,2
Kirkel,324,0
Mandelbachtal,327,0
St. Ingbert,1584,2
