,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,473,0,0
Blieskastel,595,1,1
Gersheim,114,0,0
Homburg,1568,1,1
Kirkel,321,0,0
Mandelbachtal,326,0,0
St. Ingbert,1561,4,4
