,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,635,1,1
Blieskastel,698,2,2
Gersheim,127,0,0
Homburg,2133,1,1
Kirkel,395,0,0
Mandelbachtal,349,0,0
St. Ingbert,1823,2,2
