,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,474,0,0
Blieskastel,598,0,0
Gersheim,114,0,0
Homburg,1576,1,1
Kirkel,321,0,0
Mandelbachtal,326,0,0
St. Ingbert,1566,0,0
