,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,424,1
Blieskastel,550,12
Gersheim,94,0
Homburg,1390,3
Kirkel,295,1
Mandelbachtal,286,1
St. Ingbert,1373,4
