,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,525,0
Blieskastel,640,0
Gersheim,119,0
Homburg,1776,0
Kirkel,353,0
Mandelbachtal,331,0
St. Ingbert,1658,0
