,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,591,5,5
Blieskastel,656,0,0
Gersheim,122,0,0
Homburg,2000,11,11
Kirkel,369,2,2
Mandelbachtal,335,2,2
St. Ingbert,1755,1,1
