,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,554,1
Blieskastel,651,0
Gersheim,120,0
Homburg,1896,3
Kirkel,361,0
Mandelbachtal,335,0
St. Ingbert,1700,0
