,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,460,2
Blieskastel,586,1
Gersheim,110,0
Homburg,1521,8
Kirkel,316,0
Mandelbachtal,303,1
St. Ingbert,1490,4
