,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,513,5
Blieskastel,629,7
Gersheim,119,0
Homburg,1749,18
Kirkel,349,1
Mandelbachtal,330,0
St. Ingbert,1636,2
