,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,453,3
Blieskastel,584,3
Gersheim,108,5
Homburg,1499,8
Kirkel,315,0
Mandelbachtal,300,1
St. Ingbert,1471,2
