,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,431,1
Blieskastel,561,8
Gersheim,95,1
Homburg,1409,10
Kirkel,298,1
Mandelbachtal,288,1
St. Ingbert,1399,14
