,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,462,0
Blieskastel,587,0
Gersheim,111,0
Homburg,1530,3
Kirkel,318,2
Mandelbachtal,303,0
St. Ingbert,1501,3
