,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,469,1
Blieskastel,591,0
Gersheim,111,0
Homburg,1546,0
Kirkel,318,0
Mandelbachtal,326,1
St. Ingbert,1547,0
