,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,558,1,1
Blieskastel,652,1,1
Gersheim,122,1,1
Homburg,1928,11,11
Kirkel,361,0,0
Mandelbachtal,335,0,0
St. Ingbert,1729,7,7
