,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,441,1
Blieskastel,575,0
Gersheim,101,1
Homburg,1474,3
Kirkel,307,1
Mandelbachtal,297,1
St. Ingbert,1459,1
