,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,602,1
Blieskastel,662,3
Gersheim,122,0
Homburg,2025,8
Kirkel,371,1
Mandelbachtal,336,1
St. Ingbert,1760,2
