,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,488,2
Blieskastel,617,5
Gersheim,119,0
Homburg,1679,15
Kirkel,332,6
Mandelbachtal,329,0
St. Ingbert,1611,2
