,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,647,10
Blieskastel,717,7
Gersheim,131,2
Homburg,2160,9
Kirkel,399,3
Mandelbachtal,357,1
St. Ingbert,1854,9
