,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,552,1
Blieskastel,650,1
Gersheim,120,0
Homburg,1882,11
Kirkel,360,0
Mandelbachtal,335,1
St. Ingbert,1697,3
